Year,State,District,Crop,Area_Hectares,Production_MT,Unit,Soil_Type,Irrigation_Type,Fertilizer_Used,Avg_Rainfall_mm,Avg_Temp_C,Weather_Condition,Seed_Variety,Pesticide_Used,Organic,Govt_Subsidy_Availed,Machinery_Used,Farming_Practice,Labor_Type,Crop_Cycle_Months,Yield_per_Hectare,Storage_Facility,Market_Access,Farmer_ID
2000,Haryana,Thomasfort,Barley,3653.23,10616.42,Metric Tonnes,Silty,Drip,DAP,177.27,39.29,Drought,Barley-Var-1,Yes,No,Yes,Tractor,Mixed,Both,6,2.91,Cold Storage,State,F25906
2000,Haryana,Melissaport,Barley,9616.72,19267.72,Metric Tonnes,Silty,Tube Well,NPK,224.04,22.52,Coldwave,Barley-Var-9,No,No,No,Combined Harvester,Modern,Family,8,2.0,Warehouse,Export,F43972
2000,Haryana,Morenofort,Barley,3847.05,6054.39,Metric Tonnes,Clay,Rainfed,Vermicompost,263.35,27.57,Heatwave,Barley-Var-4,No,No,Yes,Combined Harvester,Modern,Family,5,1.57,Warehouse,National,F80798
2000,Haryana,North Christopher,Sugarcane,730.98,1503.84,Metric Tonnes,Clay,Tube Well,DAP,367.89,20.99,Heatwave,Sugarcane-Var-3,Yes,Yes,No,Manual,Modern,Both,6,2.06,Warehouse,Local,F37110
2000,Haryana,West Veronica,Sugarcane,1341.5,3325.45,Metric Tonnes,Silty,Drip,Vermicompost,394.98,21.05,Normal,Sugarcane-Var-10,No,No,Yes,Manual,Modern,Hired,9,2.48,Warehouse,State,F73993
2000,Haryana,Debraview,Cotton,4500.68,13606.64,Metric Tonnes,Sandy,Drip,NPK,133.17,33.21,Normal,Cotton-Var-7,No,No,Yes,Manual,Traditional,Both,7,3.02,Cold Storage,Export,F87580
2000,Haryana,Kellystad,Cotton,2774.99,7671.77,Metric Tonnes,Peaty,Canal,Urea,271.74,28.39,Heatwave,Cotton-Var-3,No,Yes,Yes,Manual,Modern,Hired,4,2.76,Warehouse,National,F54236
2000,Haryana,Ramirezberg,Millet,713.0,2260.65,Metric Tonnes,Sandy,Drip,Compost,162.27,19.66,Normal,Millet-Var-8,Yes,Yes,No,Tractor,Mixed,Family,9,3.17,None,Local,F14067
2000,Haryana,East Annettefurt,Millet,482.93,1295.12,Metric Tonnes,Clay,Tube Well,Urea,287.15,15.41,Coldwave,Millet-Var-3,Yes,Yes,No,Combined Harvester,Traditional,Both,4,2.68,Warehouse,National,F58351
2000,Haryana,Russoburgh,Millet,5369.1,10485.81,Metric Tonnes,Clay,Sprinkler,Vermicompost,275.81,19.36,Normal,Millet-Var-3,No,Yes,Yes,Manual,Mixed,Both,6,1.95,Warehouse,State,F19961
2000,Uttar Pradesh,Kylemouth,Wheat,6146.24,13973.29,Metric Tonnes,Clay,Canal,Compost,377.86,18.44,Coldwave,Wheat-Var-2,Yes,No,No,Combined Harvester,Modern,Family,7,2.27,None,National,F11658
2000,Uttar Pradesh,Port Rhondaborough,Wheat,4140.71,7150.79,Metric Tonnes,Silty,Drip,Urea,373.64,36.93,Heatwave,Wheat-Var-6,No,Yes,No,Tractor,Mixed,Both,8,1.73,Warehouse,Export,F70931
2000,Uttar Pradesh,Smithbury,Wheat,1960.97,5529.86,Metric Tonnes,Silty,Sprinkler,Compost,336.03,28.88,Flood,Wheat-Var-4,Yes,No,No,Tractor,Modern,Both,7,2.82,None,Export,F54092
2000,Uttar Pradesh,New Diane,Wheat,5458.57,10828.19,Metric Tonnes,Loamy,Drip,Compost,82.59,37.43,Drought,Wheat-Var-8,Yes,No,No,Manual,Modern,Both,8,1.98,Warehouse,Local,F77715
2000,Uttar Pradesh,Danielleport,Rice,6528.14,18058.15,Metric Tonnes,Loamy,Tube Well,NPK,168.66,23.73,Heatwave,Rice-Var-9,Yes,No,No,Manual,Traditional,Family,5,2.77,Cold Storage,Export,F41890
2000,Uttar Pradesh,Lake Samuelstad,Rice,4449.05,14656.14,Metric Tonnes,Sandy,Sprinkler,Compost,360.48,34.5,Heatwave,Rice-Var-9,No,No,No,Manual,Mixed,Hired,5,3.29,Warehouse,National,F40217
2000,Uttar Pradesh,Ochoaland,Maize,7804.22,13019.62,Metric Tonnes,Clay,Rainfed,Urea,106.57,37.46,Coldwave,Maize-Var-3,Yes,Yes,No,Manual,Mixed,Both,9,1.67,None,National,F23176
2000,Uttar Pradesh,Richardborough,Maize,8117.37,12325.37,Metric Tonnes,Clay,Rainfed,DAP,85.52,31.59,Flood,Maize-Var-3,No,Yes,Yes,Manual,Traditional,Family,7,1.52,Warehouse,State,F93606
2000,Uttar Pradesh,West Randy,Barley,328.66,598.7,Metric Tonnes,Loamy,Canal,Vermicompost,242.06,32.3,Flood,Barley-Var-8,No,No,No,Tractor,Traditional,Hired,9,1.82,Warehouse,Local,F18564
2000,Uttar Pradesh,Lake Adamside,Barley,6781.1,13213.24,Metric Tonnes,Silty,Drip,Urea,299.26,20.93,Coldwave,Barley-Var-1,Yes,Yes,No,Tractor,Traditional,Family,7,1.95,Warehouse,State,F78494
2000,Uttar Pradesh,East Hailey,Barley,2287.11,6845.29,Metric Tonnes,Silty,Drip,NPK,277.37,36.23,Flood,Barley-Var-10,No,No,Yes,Combined Harvester,Mixed,Family,9,2.99,Cold Storage,State,F44687
2000,Uttar Pradesh,Nolanview,Sugarcane,5053.24,13323.45,Metric Tonnes,Loamy,Tube Well,DAP,82.79,24.19,Drought,Sugarcane-Var-9,Yes,Yes,Yes,Manual,Modern,Both,7,2.64,Warehouse,National,F14278
2000,Uttar Pradesh,Sherriview,Sugarcane,2852.87,5671.45,Metric Tonnes,Clay,Rainfed,Compost,390.55,24.83,Heatwave,Sugarcane-Var-2,Yes,No,Yes,Manual,Traditional,Both,4,1.99,None,State,F44816
2000,Uttar Pradesh,East Nicholasborough,Sugarcane,6478.32,17894.91,Metric Tonnes,Clay,Canal,Urea,328.18,27.57,Drought,Sugarcane-Var-5,No,No,Yes,Manual,Mixed,Hired,8,2.76,Warehouse,National,F75597
2000,Uttar Pradesh,Avilaside,Sugarcane,4728.15,11749.63,Metric Tonnes,Peaty,Drip,NPK,118.34,33.06,Normal,Sugarcane-Var-10,Yes,No,No,Combined Harvester,Modern,Family,3,2.49,Cold Storage,Local,F98117
2000,Uttar Pradesh,Gonzalezstad,Cotton,3858.28,5975.06,Metric Tonnes,Peaty,Canal,DAP,275.92,19.43,Heatwave,Cotton-Var-9,No,No,Yes,Combined Harvester,Modern,Both,9,1.55,Warehouse,Local,F71605
2000,Uttar Pradesh,East Richard,Cotton,5528.09,18838.94,Metric Tonnes,Sandy,Drip,Compost,370.2,24.25,Flood,Cotton-Var-2,Yes,No,No,Combined Harvester,Modern,Hired,8,3.41,Warehouse,Local,F69614
2000,Uttar Pradesh,Littleport,Cotton,238.75,801.4,Metric Tonnes,Loamy,Rainfed,Compost,199.86,39.17,Flood,Cotton-Var-2,No,Yes,No,Manual,Traditional,Family,7,3.36,Warehouse,Export,F91973
2000,Uttar Pradesh,Port Shannonberg,Millet,6016.99,19290.59,Metric Tonnes,Loamy,Tube Well,Compost,153.06,24.63,Coldwave,Millet-Var-3,No,No,No,Tractor,Traditional,Both,7,3.21,Cold Storage,State,F50730
2000,Uttar Pradesh,Katieshire,Millet,8012.38,17097.17,Metric Tonnes,Peaty,Canal,Vermicompost,109.32,28.92,Heatwave,Millet-Var-2,Yes,Yes,No,Tractor,Mixed,Family,6,2.13,None,National,F76698
2000,Uttar Pradesh,North Jamiebury,Millet,6485.0,18755.02,Metric Tonnes,Sandy,Drip,NPK,249.52,17.43,Heatwave,Millet-Var-4,No,Yes,No,Tractor,Mixed,Both,8,2.89,Cold Storage,Local,F46208
2000,Maharashtra,Melendezport,Wheat,3589.73,12492.64,Metric Tonnes,Sandy,Sprinkler,Compost,99.03,27.96,Normal,Wheat-Var-5,No,No,Yes,Manual,Mixed,Hired,5,3.48,Warehouse,Export,F69682
2000,Maharashtra,Troyview,Wheat,5905.94,17608.77,Metric Tonnes,Sandy,Tube Well,DAP,293.96,32.56,Coldwave,Wheat-Var-7,Yes,No,Yes,Manual,Mixed,Hired,8,2.98,Warehouse,Export,F96991
2000,Maharashtra,Coxshire,Wheat,3598.19,7510.08,Metric Tonnes,Clay,Drip,Urea,333.28,35.25,Drought,Wheat-Var-9,No,Yes,No,Tractor,Mixed,Hired,3,2.09,None,State,F63736
2000,Maharashtra,Curtisville,Rice,5233.13,17407.91,Metric Tonnes,Clay,Canal,NPK,228.97,27.54,Flood,Rice-Var-6,No,Yes,No,Combined Harvester,Mixed,Hired,5,3.33,None,Export,F80912
2000,Maharashtra,New Jacobbury,Rice,5738.28,16066.76,Metric Tonnes,Loamy,Sprinkler,Urea,295.69,34.89,Drought,Rice-Var-5,Yes,Yes,No,Tractor,Mixed,Both,9,2.8,Cold Storage,Export,F31805
2000,Maharashtra,West Chad,Rice,8205.51,17855.1,Metric Tonnes,Sandy,Canal,Urea,181.45,17.35,Flood,Rice-Var-1,No,No,No,Manual,Traditional,Family,7,2.18,Warehouse,State,F32280
2000,Maharashtra,Adambury,Rice,7491.94,11776.46,Metric Tonnes,Clay,Canal,Vermicompost,212.96,28.57,Heatwave,Rice-Var-10,Yes,No,Yes,Tractor,Modern,Both,5,1.57,Warehouse,National,F97404
2000,Maharashtra,Warrenstad,Maize,2270.06,6087.55,Metric Tonnes,Silty,Rainfed,Vermicompost,60.68,15.93,Drought,Maize-Var-2,No,No,No,Combined Harvester,Modern,Both,5,2.68,Warehouse,National,F36111
2000,Maharashtra,West Lisashire,Maize,7449.49,16540.71,Metric Tonnes,Silty,Drip,Urea,94.47,28.06,Drought,Maize-Var-7,No,No,No,Tractor,Mixed,Hired,5,2.22,Cold Storage,Local,F89482
2000,Maharashtra,Choibury,Barley,8031.96,15514.87,Metric Tonnes,Silty,Rainfed,DAP,268.01,17.13,Coldwave,Barley-Var-6,Yes,Yes,No,Combined Harvester,Mixed,Both,8,1.93,Cold Storage,Local,F92242
2000,Maharashtra,Kyleton,Barley,588.36,1507.79,Metric Tonnes,Loamy,Rainfed,NPK,239.22,30.94,Normal,Barley-Var-10,No,Yes,Yes,Manual,Modern,Both,6,2.56,Cold Storage,State,F27322
2000,Maharashtra,Juliemouth,Barley,4246.82,14658.78,Metric Tonnes,Peaty,Rainfed,Vermicompost,230.71,23.07,Coldwave,Barley-Var-5,Yes,No,No,Manual,Mixed,Hired,9,3.45,Cold Storage,Export,F19869
2000,Maharashtra,Lake Chad,Barley,7839.75,16006.13,Metric Tonnes,Clay,Tube Well,NPK,203.64,16.96,Coldwave,Barley-Var-6,Yes,No,Yes,Manual,Mixed,Family,6,2.04,Warehouse,National,F86619
2000,Maharashtra,West Jillbury,Sugarcane,290.29,994.34,Metric Tonnes,Sandy,Canal,DAP,342.59,32.4,Heatwave,Sugarcane-Var-1,No,Yes,Yes,Combined Harvester,Modern,Both,5,3.43,None,Export,F25292
2000,Maharashtra,Brendachester,Sugarcane,4589.32,8474.58,Metric Tonnes,Clay,Canal,Urea,104.75,21.26,Flood,Sugarcane-Var-8,Yes,Yes,Yes,Combined Harvester,Traditional,Hired,6,1.85,Warehouse,Export,F86983
2000,Maharashtra,West Davidborough,Sugarcane,3826.97,11209.92,Metric Tonnes,Clay,Drip,Urea,281.07,22.0,Heatwave,Sugarcane-Var-10,No,No,Yes,Combined Harvester,Modern,Family,6,2.93,Warehouse,State,F57537
2000,Maharashtra,West Bretttown,Cotton,6425.13,19119.87,Metric Tonnes,Sandy,Sprinkler,Compost,244.02,30.29,Normal,Cotton-Var-7,No,Yes,Yes,Manual,Traditional,Both,4,2.98,None,Local,F16629
2000,Maharashtra,Loganport,Cotton,4350.97,8682.2,Metric Tonnes,Sandy,Tube Well,DAP,174.59,33.95,Coldwave,Cotton-Var-4,Yes,Yes,Yes,Tractor,Modern,Family,9,2.0,None,Local,F46342
2000,Maharashtra,New Lisa,Millet,450.7,780.67,Metric Tonnes,Clay,Sprinkler,Compost,66.1,16.02,Drought,Millet-Var-2,Yes,Yes,Yes,Manual,Traditional,Both,5,1.73,Cold Storage,State,F44782
2000,Maharashtra,Lake Scott,Millet,5909.74,17181.48,Metric Tonnes,Loamy,Tube Well,NPK,215.96,17.45,Coldwave,Millet-Var-2,Yes,No,No,Manual,Mixed,Both,3,2.91,Warehouse,State,F90623
2000,Karnataka,New Jason,Wheat,4122.09,10086.51,Metric Tonnes,Peaty,Rainfed,NPK,110.62,25.85,Normal,Wheat-Var-1,No,No,No,Combined Harvester,Traditional,Hired,8,2.45,Warehouse,Local,F20589
2000,Karnataka,Wilsonport,Wheat,3027.73,8270.84,Metric Tonnes,Sandy,Sprinkler,DAP,272.28,16.13,Normal,Wheat-Var-3,No,No,No,Combined Harvester,Mixed,Hired,6,2.73,None,Export,F22999
2000,Karnataka,East Felicia,Rice,2836.39,7804.95,Metric Tonnes,Loamy,Sprinkler,DAP,226.1,36.41,Heatwave,Rice-Var-8,Yes,No,No,Manual,Modern,Hired,8,2.75,Cold Storage,National,F65936
2000,Karnataka,Lake Allison,Rice,7308.59,13344.53,Metric Tonnes,Sandy,Rainfed,Compost,74.7,31.06,Drought,Rice-Var-8,Yes,Yes,Yes,Tractor,Modern,Family,8,1.83,None,National,F27054
2000,Karnataka,Carterstad,Rice,380.67,1016.97,Metric Tonnes,Peaty,Canal,Vermicompost,379.08,29.39,Coldwave,Rice-Var-9,No,Yes,No,Manual,Mixed,Hired,9,2.67,None,Local,F47700
2000,Karnataka,South Danielville,Rice,2895.78,8069.31,Metric Tonnes,Peaty,Rainfed,Compost,210.39,28.64,Normal,Rice-Var-10,Yes,Yes,No,Tractor,Traditional,Hired,9,2.79,None,National,F25058
2000,Karnataka,Michaelmouth,Maize,8299.67,18858.56,Metric Tonnes,Peaty,Tube Well,NPK,386.42,37.63,Coldwave,Maize-Var-10,Yes,No,Yes,Tractor,Modern,Both,9,2.27,Warehouse,National,F56009
2000,Karnataka,Nicolechester,Maize,2634.94,4317.93,Metric Tonnes,Loamy,Tube Well,DAP,85.27,15.46,Coldwave,Maize-Var-7,Yes,Yes,Yes,Tractor,Mixed,Both,4,1.64,Warehouse,Export,F69460
2000,Karnataka,Ericabury,Maize,817.04,2341.64,Metric Tonnes,Sandy,Tube Well,Compost,74.92,22.97,Flood,Maize-Var-6,Yes,Yes,Yes,Tractor,Mixed,Family,8,2.87,Cold Storage,National,F68079
2000,Karnataka,Careybury,Barley,10976.13,16975.07,Metric Tonnes,Silty,Drip,Vermicompost,335.06,22.05,Heatwave,Barley-Var-7,No,Yes,Yes,Manual,Modern,Family,5,1.55,None,Export,F79066
2000,Karnataka,New Lisaside,Barley,969.15,2804.21,Metric Tonnes,Sandy,Canal,DAP,270.13,36.94,Heatwave,Barley-Var-10,Yes,Yes,Yes,Manual,Traditional,Family,9,2.89,Warehouse,National,F53007
2000,Karnataka,Brownland,Barley,4774.4,14833.89,Metric Tonnes,Loamy,Canal,NPK,148.71,19.44,Heatwave,Barley-Var-3,Yes,No,Yes,Combined Harvester,Mixed,Both,9,3.11,Warehouse,Local,F62044
2000,Karnataka,North Natasha,Barley,4861.46,15136.99,Metric Tonnes,Loamy,Drip,Urea,396.68,25.32,Heatwave,Barley-Var-2,No,No,No,Combined Harvester,Mixed,Hired,5,3.11,Cold Storage,Export,F12733
2000,Karnataka,North Michaelbury,Sugarcane,2540.06,7754.35,Metric Tonnes,Clay,Sprinkler,NPK,169.28,38.27,Flood,Sugarcane-Var-2,No,Yes,Yes,Manual,Mixed,Hired,7,3.05,Cold Storage,Export,F50668
2000,Karnataka,Port Jessica,Sugarcane,7310.91,17239.05,Metric Tonnes,Sandy,Tube Well,Compost,312.8,33.86,Drought,Sugarcane-Var-2,Yes,Yes,No,Manual,Mixed,Both,9,2.36,Cold Storage,State,F23474
2000,Karnataka,North Hannah,Sugarcane,759.71,2510.92,Metric Tonnes,Clay,Rainfed,DAP,226.84,35.66,Drought,Sugarcane-Var-10,Yes,Yes,Yes,Combined Harvester,Modern,Hired,9,3.31,None,Export,F99277
2000,Karnataka,Bennettton,Cotton,2048.28,6740.97,Metric Tonnes,Peaty,Rainfed,Compost,186.22,15.27,Drought,Cotton-Var-8,Yes,No,No,Combined Harvester,Modern,Hired,7,3.29,Cold Storage,National,F76497
2000,Karnataka,Jasminebury,Cotton,10789.99,18154.95,Metric Tonnes,Loamy,Rainfed,NPK,161.76,38.75,Heatwave,Cotton-Var-1,Yes,No,No,Tractor,Mixed,Family,7,1.68,None,Export,F70648
2000,Karnataka,Lake Cody,Cotton,7192.19,19036.84,Metric Tonnes,Peaty,Sprinkler,Urea,271.14,26.21,Heatwave,Cotton-Var-10,Yes,No,No,Combined Harvester,Traditional,Family,6,2.65,Cold Storage,National,F21053
2000,Karnataka,Seanfort,Cotton,2882.09,6217.61,Metric Tonnes,Peaty,Tube Well,Urea,285.38,33.81,Drought,Cotton-Var-8,No,Yes,No,Manual,Modern,Hired,6,2.16,Warehouse,Local,F92691
2000,Karnataka,Levineville,Millet,5175.24,15935.79,Metric Tonnes,Sandy,Canal,Compost,81.92,27.36,Normal,Millet-Var-9,No,No,No,Combined Harvester,Mixed,Both,9,3.08,Cold Storage,National,F20682
2000,Karnataka,Howardhaven,Millet,624.23,1622.4,Metric Tonnes,Peaty,Tube Well,Compost,204.54,37.19,Flood,Millet-Var-7,Yes,Yes,No,Combined Harvester,Modern,Both,9,2.6,Warehouse,State,F97833
2000,Karnataka,Elizabethchester,Millet,4234.3,7342.84,Metric Tonnes,Peaty,Canal,NPK,100.05,34.04,Coldwave,Millet-Var-6,Yes,No,No,Tractor,Traditional,Hired,9,1.73,Warehouse,State,F39693
2000,Karnataka,South Kendrachester,Millet,7375.7,12555.25,Metric Tonnes,Clay,Tube Well,Urea,79.44,32.52,Flood,Millet-Var-2,Yes,No,Yes,Combined Harvester,Modern,Family,4,1.7,Cold Storage,State,F67366
2000,Bihar,Katiebury,Wheat,610.39,1918.88,Metric Tonnes,Silty,Rainfed,DAP,297.18,17.03,Heatwave,Wheat-Var-10,No,No,Yes,Combined Harvester,Traditional,Hired,9,3.14,Warehouse,State,F58213
2000,Bihar,West James,Wheat,620.26,2154.34,Metric Tonnes,Peaty,Drip,NPK,180.99,24.27,Flood,Wheat-Var-7,No,Yes,Yes,Combined Harvester,Traditional,Hired,3,3.47,None,Export,F58655
2000,Bihar,South Andrew,Rice,4816.5,16349.59,Metric Tonnes,Loamy,Sprinkler,Urea,395.1,33.83,Flood,Rice-Var-2,Yes,No,No,Combined Harvester,Traditional,Hired,3,3.39,Cold Storage,Export,F55820
2000,Bihar,North Carmen,Rice,4701.29,7837.06,Metric Tonnes,Loamy,Drip,Urea,322.0,28.96,Heatwave,Rice-Var-9,No,Yes,No,Tractor,Modern,Family,3,1.67,Warehouse,Local,F95191
2000,Bihar,Amyland,Rice,2648.08,8772.33,Metric Tonnes,Sandy,Tube Well,DAP,88.92,27.32,Normal,Rice-Var-5,No,Yes,No,Manual,Mixed,Family,3,3.31,Cold Storage,National,F38266
2000,Bihar,Whitneyport,Rice,295.98,721.4,Metric Tonnes,Clay,Sprinkler,Vermicompost,69.71,17.97,Coldwave,Rice-Var-7,Yes,No,Yes,Manual,Traditional,Family,4,2.44,Warehouse,Export,F18232
2000,Bihar,Georgeton,Maize,997.62,2791.76,Metric Tonnes,Silty,Sprinkler,Vermicompost,311.12,29.58,Normal,Maize-Var-9,Yes,Yes,No,Manual,Traditional,Both,5,2.8,Cold Storage,Export,F34551
